,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,t_C(trial_type)[easy],0.23239780276944033,0.053024797101508654,0.15097661124102268,0.19802343462015878,0.22185890419587334,0.2565506487542676,0.36201957414299135,0.003547223765162559
1,t_C(trial_type)[easy]_std,0.1513795308323056,0.06974002325820822,0.07010978565588594,0.1044371780701372,0.1346846290632776,0.18143638490854658,0.34014075297739554,0.004920370378763546
2,t_C(trial_type)[easy]_subj.902.0,0.20955968276248443,0.014863411860892307,0.17639215110436396,0.20063075594424087,0.2109851177803666,0.22012950075769633,0.23328896947031927,0.000685694147929989
3,t_C(trial_type)[easy]_subj.904.0,0.15278363931726682,0.023228795003981204,0.09846968093701759,0.1390977834654672,0.15496140493752356,0.1693268656578995,0.18943226210417324,0.0009282051708319623
4,t_C(trial_type)[easy]_subj.906.0,0.22115220239636516,0.01889217126339375,0.17860696859727038,0.20991560042252722,0.22390526078285644,0.23548399468023024,0.24967315667670295,0.0007736465927591324
5,t_C(trial_type)[easy]_subj.907.0,0.15999831985366517,0.02503705929137307,0.10423286321382043,0.14614378761703722,0.1612726736584444,0.17861104573640454,0.20130064705018158,0.0012069224653787508
6,t_C(trial_type)[easy]_subj.908.0,0.17693882204386066,0.01591762602340496,0.14130201862542907,0.1670463830477399,0.17850673507830248,0.18889307075573125,0.20253146826169677,0.0007426845664173668
7,t_C(trial_type)[easy]_subj.910.0,0.337485526036089,0.024886758452421852,0.2789626257081034,0.3220709946408535,0.3421489325194529,0.3554523103167771,0.3753153718886207,0.001112499088545604
8,t_C(trial_type)[easy]_subj.911.0,0.28157261050010446,0.04564514293979056,0.1802492140695015,0.25068220597489876,0.28871339004691693,0.31544964266046427,0.3539200536019258,0.0022526661221532107
9,t_C(trial_type)[easy]_subj.912.0,0.17850762179134974,0.026866596230416914,0.11922666945214885,0.16154113795222003,0.1830045837526873,0.19782975337026676,0.2227906940018122,0.0012047910768548024
10,t_C(trial_type)[easy]_subj.913.0,0.2143453773685134,0.017312449480488285,0.17346060983642855,0.20408025423810663,0.21605962065787193,0.22708972766890337,0.2420441658280475,0.0007192071928970418
11,t_C(trial_type)[easy]_subj.914.0,0.03361987593395637,0.014320715644347027,0.004870652080575208,0.023397933800848973,0.03442892547403366,0.044102786283643766,0.059298925418610815,0.0006628648636415364
12,t_C(trial_type)[hard],0.2751555898190185,0.04246577835878523,0.2076027491926353,0.2461247540712375,0.2693593394424113,0.29833787821695834,0.3815737157643093,0.0023338763321557278
13,t_C(trial_type)[hard]_std,0.11648550094281815,0.04437019350272616,0.059920678522438015,0.08539660713197139,0.10595421911915613,0.1379454045642003,0.2422465848799451,0.002660325142992497
14,t_C(trial_type)[hard]_subj.902.0,0.313867652527149,0.01033270525046202,0.28990350642853613,0.30756126454242316,0.31510887782248853,0.32135411707017436,0.3303275899637615,0.00045531997351507095
15,t_C(trial_type)[hard]_subj.904.0,0.26437009925415983,0.01572398135148961,0.22679066912500295,0.2563743622435759,0.26612625778771176,0.27539960287795284,0.2889664809989638,0.0006706625011896482
16,t_C(trial_type)[hard]_subj.906.0,0.23434123779577604,0.021466803092404188,0.18801887827264202,0.22161710965134673,0.23665214951801186,0.24949835014800603,0.26820965803681485,0.0009676545446384756
17,t_C(trial_type)[hard]_subj.907.0,0.21505586225573856,0.019471679524217227,0.17248621292711316,0.2047342248295672,0.21747428811480402,0.2292098255167978,0.24580523850107416,0.0008679750283107481
18,t_C(trial_type)[hard]_subj.908.0,0.19943007936117738,0.011770109049803738,0.17402039937627253,0.19190959677764707,0.20042579115711456,0.20792966650014338,0.2194507815123266,0.0006203863954211766
19,t_C(trial_type)[hard]_subj.910.0,0.4677393018462356,0.02676595519739856,0.40573556976378705,0.4546249248270436,0.47174387600421014,0.4849698734808494,0.5110965105893851,0.001305629138137937
20,t_C(trial_type)[hard]_subj.911.0,0.2555444635989323,0.029410332135853895,0.19253832620928638,0.23494166188623763,0.2594112707208319,0.27707786561318437,0.30409171178173944,0.0012045838990531192
21,t_C(trial_type)[hard]_subj.912.0,0.26772906480175696,0.017986274009818896,0.22213252423766158,0.2584513989151509,0.27046034257469265,0.2802452691979418,0.2950451867915207,0.0009305370835544854
22,t_C(trial_type)[hard]_subj.913.0,0.22995208426489888,0.01568734749492304,0.19458051464865384,0.22020237594742717,0.23218861633171678,0.24180545170997014,0.25321396455405853,0.0006747031012442702
23,t_C(trial_type)[hard]_subj.914.0,0.11734741013397723,0.02014435616669627,0.07374329529640922,0.10451994668984152,0.1179591698405745,0.13161820527720397,0.15334873896805495,0.0009685594028897845
24,v_C(trial_type)[easy],-0.20652472166213115,0.10663195846772383,-0.4187777212568329,-0.27164184972482064,-0.20429320512658075,-0.1393894457621822,-0.008697962119607258,0.004185354319189253
25,v_C(trial_type)[easy]_std,0.29560381404168073,0.10073766119310372,0.15259833554069135,0.22570817814530664,0.27592853147601576,0.3496468984578438,0.5369032371047897,0.004755547894319449
26,v_C(trial_type)[easy]_subj.902.0,-0.2430994995036254,0.1348807306635564,-0.4942022776065974,-0.3324638094689306,-0.24490355994621238,-0.15093676027536096,0.01843314183101763,0.005148845713392183
27,v_C(trial_type)[easy]_subj.904.0,-0.37590570924869615,0.12151865472817852,-0.6329607379910244,-0.4547395959271835,-0.3751616313362439,-0.2972027974279161,-0.13188220220736302,0.00414783768214013
28,v_C(trial_type)[easy]_subj.906.0,-0.10048230033240703,0.11122528449185055,-0.31141777640957874,-0.17888151927003917,-0.10173943368320099,-0.02004184094962086,0.1083819736613767,0.003712125421523018
29,v_C(trial_type)[easy]_subj.907.0,-0.35822763098392163,0.11501149528247413,-0.5779014971358454,-0.4388643442254015,-0.3598899299708155,-0.277931919072091,-0.1265182313851536,0.004485489776472008
30,v_C(trial_type)[easy]_subj.908.0,-0.407550971536082,0.1508929732870593,-0.709290959574336,-0.5098003109654433,-0.4047080100395318,-0.3027454493371393,-0.10790910321858882,0.0053287820127472674
31,v_C(trial_type)[easy]_subj.910.0,0.15861872607414,0.10902642154772761,-0.0641469234810402,0.08150839154685835,0.1613403765110754,0.2315850184883017,0.37225795992274185,0.0035574414128455153
32,v_C(trial_type)[easy]_subj.911.0,-0.05529500370185523,0.09495456765306182,-0.23776402548660697,-0.11794412932068246,-0.058953771141974975,0.008861113040062624,0.1343507338353937,0.0030172697471518174
33,v_C(trial_type)[easy]_subj.912.0,-0.21689964799452016,0.1157236073591832,-0.4492043863537325,-0.29422739038030143,-0.21902581346997174,-0.14132865311516332,0.0178983415849448,0.003755764919791343
