,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,t_C(site_loc)[PCC],0.2574309738455817,0.06800396430039288,0.16798035750251802,0.2118528431863263,0.2442818315047952,0.28486440397492524,0.4281514511086957,0.0025345187937666864
1,t_C(site_loc)[PCC]_std,0.17939247332739397,0.09347487355187659,0.08453176585099519,0.12134754378468271,0.1540599048009847,0.20697445171178397,0.4347819477632052,0.0037980950556557704
2,t_C(site_loc)[PCC]_subj.902,0.2602076282547366,0.008546358465995113,0.24067378494316405,0.25516643911074666,0.2611929591341692,0.2665045511385925,0.2740928007538981,0.00016039824694865685
3,t_C(site_loc)[PCC]_subj.904,0.1401901971941647,0.01781349416377558,0.09832878240001211,0.13005821067482337,0.14288573883831265,0.15311395787524062,0.1677727545111432,0.00033401346528361993
4,t_C(site_loc)[PCC]_subj.906,0.2880705242065124,0.02037865879152031,0.2420399180952245,0.2760938677065268,0.2906317181054652,0.30277615317901124,0.32095697876799945,0.00039021497547527234
5,t_C(site_loc)[PCC]_subj.907,0.15116620415079332,0.02191022417075659,0.09958978530454698,0.13821180803876873,0.15340172064440255,0.16672582923117582,0.18843430232761496,0.0005942784413431326
6,t_C(site_loc)[PCC]_subj.908,0.12223098703179405,0.011499813545433049,0.095876952870945,0.1156676440506762,0.12366471784271901,0.13041238738731464,0.1401510687024135,0.0002434611547713818
7,t_C(site_loc)[PCC]_subj.910,0.4779516361293457,0.02436589644938596,0.42136584746513295,0.463794028996299,0.48133927427109974,0.49515625621352444,0.5165456306157451,0.0006032774769601037
8,t_C(site_loc)[PCC]_subj.911,0.2670160794362081,0.021224075610971505,0.21736848771067208,0.255109044161219,0.26963874747958994,0.28216561086192893,0.3003522092389026,0.0004598796407723202
9,t_C(site_loc)[PCC]_subj.912,0.2128758330554414,0.017965722896699038,0.17199682831047225,0.20233166380850845,0.21466631409456202,0.22524772347770441,0.24302883417025245,0.0003970802198393828
10,t_C(site_loc)[PCC]_subj.913,0.17866350504703368,0.011817954184201816,0.15191715390849464,0.1713417135230317,0.1802264777010182,0.1871754584087705,0.19712753404505465,0.0002572708704981047
11,t_C(site_loc)[PCC]_subj.914,0.04821540359179743,0.013995543735272493,0.0165878632511567,0.03926188777681973,0.04996290952465856,0.05817151941736656,0.07137688978669354,0.00027233922887530464
12,t_C(site_loc)[dACC],0.2747264958564913,0.04330040809012516,0.20625024975909673,0.24792748886908414,0.2696896009219874,0.29395722603587704,0.37600860511138373,0.0012453860385330106
13,t_C(site_loc)[dACC]_std,0.11570394980623824,0.04777907447206392,0.06178296968492758,0.08571099513346735,0.10478610328172322,0.13212848280427797,0.23891535949927425,0.001639939286519601
