,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,a_C(site_loc)[PCC],1.6409379391449628,0.10248215413110423,1.4442951614482775,1.5726252330422792,1.6365588806565223,1.7083489328676267,1.8427708569525958,0.002979704604332763
1,a_C(site_loc)[PCC]_std,0.3009167249961877,0.09301257138266622,0.17293351873387788,0.23328148014593203,0.2837180376334355,0.3514417378257326,0.5341521189717806,0.0038581951551364796
2,a_C(site_loc)[PCC]_subj.902.0,1.215528511384467,0.06348750075396489,1.1024884653510134,1.1706036185052573,1.2133295111253901,1.2587505410150643,1.3515106332490283,0.002131329863811019
3,a_C(site_loc)[PCC]_subj.904.0,1.7321556907490503,0.09390630857577396,1.5541165707945783,1.6669509981540438,1.729114006478326,1.79305944201806,1.927314660741642,0.0025997976391008227
4,a_C(site_loc)[PCC]_subj.906.0,1.91321122345336,0.10309731984921262,1.7177688792180037,1.8411817238977437,1.9102413001488314,1.9779447719801293,2.128696104213601,0.003351206212523705
5,a_C(site_loc)[PCC]_subj.907.0,1.7999459614290667,0.10834781814518592,1.5968493104958783,1.7272901109051164,1.7944945354445314,1.8729472104202394,2.025495804639918,0.004254480563438358
6,a_C(site_loc)[PCC]_subj.908.0,1.3816653543179125,0.07663247580386845,1.2305889865335222,1.3307005938351302,1.379926707791021,1.4312652389352984,1.5330658010525773,0.0022811211561945257
7,a_C(site_loc)[PCC]_subj.910.0,1.9486093154037003,0.11887944946436386,1.7476663209061027,1.863419467855327,1.9390083816422914,2.0253308666420944,2.2148556990870873,0.0047428982986921515
8,a_C(site_loc)[PCC]_subj.911.0,1.7898913063473336,0.09493552913453315,1.6190286545824,1.7240979252440767,1.7844481420434848,1.8540493532838886,1.990652443092445,0.0029203064166722892
9,a_C(site_loc)[PCC]_subj.912.0,1.534415834405119,0.09223439272601872,1.3730630567517461,1.470405879790198,1.5285033768081102,1.5966543827012134,1.7262532308584229,0.0035113980926624
10,a_C(site_loc)[PCC]_subj.913.0,1.4755005701662123,0.07630048751602583,1.3349820924671791,1.4218442136079925,1.4754533817864164,1.5235050671837762,1.634363326438291,0.0021275293977755837
11,a_C(site_loc)[PCC]_subj.914.0,1.5596321559476645,0.08440956172390306,1.4017608234190602,1.5038459536322761,1.5544488637944562,1.6121399295284942,1.7427370052475293,0.002496198479099998
12,a_C(site_loc)[dACC],1.715815374804504,0.12519482917959035,1.4877286820816404,1.6369523318851185,1.710464977135961,1.787795214736498,1.983798721303974,0.004275194072117167
13,a_C(site_loc)[dACC]_std,0.3586764669783334,0.11681768507739375,0.20516063956837388,0.281648693143905,0.3362864496848433,0.4111929109538359,0.6405075755543684,0.004836352492278614
14,a_C(site_loc)[dACC]_subj.902.0,1.3389896750643635,0.0766007919445992,1.201577129039883,1.2879840662421953,1.334362441437853,1.3861925353074047,1.5065484701651317,0.002299232829544062
15,a_C(site_loc)[dACC]_subj.904.0,1.693289289795003,0.0923099949327982,1.5287109288347147,1.6283322788086116,1.68881328679678,1.7503510155505986,1.8939423136221372,0.003394466129700075
16,a_C(site_loc)[dACC]_subj.906.0,1.821488092131239,0.1172380629485459,1.6195340037139891,1.7377145635062983,1.810971986083318,1.8975610049735419,2.062766651613206,0.00421147144203709
17,a_C(site_loc)[dACC]_subj.907.0,1.6867041417603952,0.09093830365739247,1.518892041561519,1.623859505066602,1.6830544077147116,1.7467018440887288,1.8858729668089307,0.0029892118635747107
18,a_C(site_loc)[dACC]_subj.908.0,1.2495744893492726,0.07493761464834506,1.1150404650231425,1.1971977959862445,1.2450179655890576,1.2990483144966578,1.4099685003319025,0.0028711714386901546
19,a_C(site_loc)[dACC]_subj.910.0,1.9689027984919736,0.11104360171095728,1.7668387658680613,1.8888295532593367,1.9702203329653476,2.036819261959095,2.2017282609293245,0.0034497775523719596
20,a_C(site_loc)[dACC]_subj.911.0,2.252937632242417,0.11916791235151585,2.040669843650361,2.1680058959028825,2.2493751882284236,2.3309383221644566,2.500707409805074,0.003997753383451187
21,a_C(site_loc)[dACC]_subj.912.0,1.6691126550481745,0.09317759008951447,1.4939065729417875,1.6066674666949439,1.6675431258743834,1.7309222722224151,1.8650047189677728,0.003267618949808985
22,a_C(site_loc)[dACC]_subj.913.0,1.5549690353200372,0.09348562781410284,1.3863422431768848,1.4884273359509042,1.5480008338244478,1.6174302228869202,1.7536553234110328,0.0028284344019485898
23,a_C(site_loc)[dACC]_subj.914.0,1.7652589939200864,0.09792259290095728,1.5822508756036944,1.6981979219493977,1.7624577792527065,1.829458138412749,1.9582741684771006,0.003251972633464142
24,v_C(site_loc)[PCC],0.4299552388495595,0.23909573390895622,-0.02969830852969685,0.28233325039239243,0.4247654534268234,0.5799629594452488,0.910561440621977,0.0056155479122052135
25,v_C(site_loc)[PCC]_std,0.7127655705465663,0.21237362598249787,0.4242892999362426,0.5649545374242035,0.6747824125572409,0.8082777080366004,1.2550140447184386,0.007283003011100765
26,v_C(site_loc)[PCC]_subj.902.0,-0.21769008402550785,0.18124277768954894,-0.5549308962848131,-0.34379690915434274,-0.22044625937034923,-0.0910153770497445,0.14141555877924628,0.004059277500687187
27,v_C(site_loc)[PCC]_subj.904.0,0.49318160638153125,0.14008747461750826,0.2255242275812031,0.3985370478302288,0.49578007687095704,0.5882459844846619,0.7657480272309534,0.0032541217606625156
28,v_C(site_loc)[PCC]_subj.906.0,0.720132493839843,0.12081008187589937,0.49136509795489913,0.6376657482320314,0.719183403317684,0.7970403183291157,0.9682064452588762,0.0028667879177693037
29,v_C(site_loc)[PCC]_subj.907.0,-0.9636706649479512,0.14669197557669786,-1.2690878460746005,-1.0621541992531875,-0.9564140382083323,-0.8624256155846484,-0.6893267061081323,0.00435753109401428
30,v_C(site_loc)[PCC]_subj.908.0,0.8416873962153008,0.18005759322952422,0.47667266445330575,0.7250832813069101,0.8422678803908552,0.9649283128773714,1.190617814202191,0.004470937438877371
31,v_C(site_loc)[PCC]_subj.910.0,1.0936359189473848,0.14196693053062948,0.8260249157188355,0.9986473659119042,1.0949410344705968,1.1892131577254546,1.3729028609558804,0.003929045881325816
