,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,t_C(trial_type)[easy],0.2184709267995682,0.043182374094703525,0.15319491644346644,0.19035242608816383,0.2116569788950466,0.2400723961583776,0.3199818236109142,0.0021491624601381676
1,t_C(trial_type)[easy]_std,0.12351208235996486,0.05383851946802824,0.06089374418541392,0.089175245212059,0.11099738994435078,0.14276336775846474,0.264702413477243,0.002913564859527462
2,t_C(trial_type)[easy]_subj.902.0,0.22625839389180039,0.008436922930054217,0.20766100816722144,0.2210459560424845,0.22719240308754202,0.2323574075679693,0.2404329232179158,0.0002592938377085741
3,t_C(trial_type)[easy]_subj.904.0,0.17556812199167357,0.015378181132352856,0.139110814241901,0.16775551590911927,0.17751964345428745,0.18630358674884526,0.19807806628521646,0.0007886623407371765
4,t_C(trial_type)[easy]_subj.906.0,0.22275280396199737,0.016253728395115605,0.18652193180552198,0.21289219213931684,0.2242980125616171,0.234156534315908,0.2500566181147577,0.0004471850409562028
5,t_C(trial_type)[easy]_subj.907.0,0.1841219129778314,0.017934316787563822,0.14437405612876028,0.17309511546789766,0.18592485611511128,0.19689182319649462,0.21402144816711832,0.0006110019012061559
6,t_C(trial_type)[easy]_subj.908.0,0.18368654713843,0.009752935314749755,0.16209138222779662,0.17789994186990404,0.18440412763541608,0.1903915407426903,0.20069319536656863,0.0003787554396053021
7,t_C(trial_type)[easy]_subj.910.0,0.28974158853639126,0.015036652329520088,0.2566587228389949,0.2804147639308567,0.291546164104247,0.3003539495596482,0.3150104252667618,0.0004144561401477298
8,t_C(trial_type)[easy]_subj.911.0,0.19074197486496008,0.022525208138193295,0.1407325142519583,0.17703759592434704,0.1923551437558259,0.20755507729022343,0.22765039392747688,0.0006621007990235039
9,t_C(trial_type)[easy]_subj.912.0,0.1775645466421938,0.01663935454605566,0.1419689656022034,0.16728028057966987,0.17879282814045985,0.18948851600223365,0.20624648239423024,0.000580473159243383
10,t_C(trial_type)[easy]_subj.913.0,0.2279182888555226,0.010848265632454836,0.20493313072418598,0.22087322593737507,0.22910439396505172,0.2355992971177247,0.2463932874406829,0.0003679722703293322
11,t_C(trial_type)[easy]_subj.914.0,0.03634425642358612,0.011734885227900416,0.012010621673325943,0.028332620766357508,0.03711904865873488,0.0445934597076877,0.057817848597203805,0.00040115508073599617
12,t_C(trial_type)[hard],0.2311051320829482,0.04623239703051792,0.15886442286694946,0.20022159984637558,0.22416359999335117,0.2536531241245401,0.34865890526226706,0.0021571805206417804
13,t_C(trial_type)[hard]_std,0.14076510672926623,0.05633101740962337,0.0720161194434834,0.10251074657291047,0.12854098519357657,0.16122406067974648,0.292766711667827,0.003015531112037115
14,t_C(trial_type)[hard]_subj.902.0,0.2611448424427892,0.007436338799696403,0.24454161213141157,0.25651743411016814,0.26221038330449137,0.26646584741682916,0.27329354237851344,0.00030134494698061507
15,t_C(trial_type)[hard]_subj.904.0,0.15747291088293802,0.01035759796991021,0.13531901788276146,0.15090549440678735,0.15829382330411726,0.16506619068755043,0.17475134335750905,0.00029182803721517175
16,t_C(trial_type)[hard]_subj.906.0,0.1911782264664379,0.017300537343092618,0.15220403091658943,0.1812852850826483,0.19248289613397787,0.2029532907154324,0.22059101984227028,0.000720664973188183
17,t_C(trial_type)[hard]_subj.907.0,0.15770468762875384,0.015259755096138127,0.12396874845541428,0.1487066814810027,0.15885755653975053,0.16823963717396956,0.18439304365278125,0.0005990387835119595
18,t_C(trial_type)[hard]_subj.908.0,0.1304861813487517,0.007578230123640591,0.11330985112658605,0.12610146388820295,0.13134994328617056,0.13576125971017472,0.1427736218354739,0.0002757384386000022
19,t_C(trial_type)[hard]_subj.910.0,0.43722070376759703,0.018085969333276847,0.3956717164882111,0.42599773796170487,0.4390970100097127,0.44956178032922933,0.467436860090712,0.0008293730187499944
20,t_C(trial_type)[hard]_subj.911.0,0.23348498628749215,0.020962484757757856,0.18322152738168443,0.2217588290380466,0.23599496067326778,0.24772684551930058,0.2679712687395831,0.000857502126930571
21,t_C(trial_type)[hard]_subj.912.0,0.21499458349254846,0.013204569575743317,0.18758631304406628,0.2064906437767452,0.21537940740422065,0.22396304606762568,0.2401108319363212,0.0005283863212478169
22,t_C(trial_type)[hard]_subj.913.0,0.1794410839559311,0.009562809377505586,0.15926151346581205,0.17321791025836691,0.1800677284349458,0.18625552061555442,0.19596865803570646,0.0003025952788266244
23,t_C(trial_type)[hard]_subj.914.0,0.050555396736338784,0.011867316879120977,0.024366279478299148,0.04342219873832582,0.051460730306268215,0.05936568758236671,0.06976741200963703,0.0004502852071366294
24,t_C(site_loc)[T.dACC],0.25272750948605954,0.1043528066793189,0.08658382945435038,0.17967162039287213,0.2394064443948062,0.3112976180415043,0.48440631533640977,0.007362299203444349
25,t_C(site_loc)[T.dACC]_std,1.2602860110422398,0.48822366773301296,0.47521338679467323,0.9071505841822959,1.213418454687473,1.5576303095890895,2.307051601018169,0.03290014172823568
26,t_C(site_loc)[T.dACC]_subj.902.0,0.0004218168853568442,0.001616342450708947,1.2650677742833188e-25,7.010152882106692e-14,1.4724186605165065e-08,1.5727901886457962e-05,0.005226540166250061,0.0001123728390950855
27,t_C(site_loc)[T.dACC]_subj.904.0,0.0016545851021522043,0.006926038263395647,7.671132388213905e-48,2.2854522404097637e-35,2.473052776950785e-11,6.789215541565986e-08,0.025491380537205253,0.0005469973883929522
28,t_C(site_loc)[T.dACC]_subj.906.0,7.51608930530269e-05,0.0004888964492636654,1.0908711054294157e-19,1.4394659723624767e-13,2.5594668902106987e-11,8.3044811452151e-09,0.0009580979657418452,4.149146572181299e-05
29,t_C(site_loc)[T.dACC]_subj.907.0,0.0005123710031762717,0.0016933180997075786,1.6653373546948598e-28,1.159170295775218e-16,1.3896072025832768e-08,5.90403920043565e-05,0.0057773033756695095,0.00010862782125511295
30,t_C(site_loc)[T.dACC]_subj.908.0,0.00046187157457000565,0.002376938793894697,1.464743855162653e-26,6.675034137891928e-15,4.847596361349267e-12,2.363049993763812e-08,0.007005501547558213,0.000136631057236799
31,t_C(site_loc)[T.dACC]_subj.910.0,0.002669003140798535,0.008090971549750216,1.6054680870067663e-18,9.72275099805182e-13,2.822249640625762e-08,0.00028760318745983855,0.02986003019566965,0.0005521018453965572
32,t_C(site_loc)[T.dACC]_subj.911.0,0.002447773195703718,0.009025993587667978,3.921937205923052e-31,2.1624695238391244e-08,1.6031970818603828e-05,0.0005905797073217298,0.02360952063716396,0.0007047774157647971
33,t_C(site_loc)[T.dACC]_subj.912.0,0.002108473786109542,0.00587034877056944,2.8121343651802292e-18,7.021044419493336e-11,7.915618053611753e-08,0.00035632488115309915,0.02297912248992086,0.0004061080851559827
34,t_C(site_loc)[T.dACC]_subj.913.0,0.0004927283474517924,0.002130011375349483,5.023059893787074e-19,3.5388573912172594e-13,6.207446014317862e-10,1.0540058571821744e-05,0.0068379612988539035,0.00012807753180190485
35,t_C(site_loc)[T.dACC]_subj.914.0,3.802462706825274e-11,4.3456869270016473e-10,1.702793791407844e-33,3.4233462706826257e-28,6.911270838513556e-25,1.8000378300900528e-17,6.455628528058211e-11,2.6437230479937605e-11
36,t_C(trial_type)[T.hard]:C(site_loc)[T.dACC],0.05582947453099163,0.007632687170063673,0.04003285543710548,0.05083934670748569,0.05599111210962268,0.0610711434244971,0.07016784485687805,0.00039400678678934794
37,v_C(trial_type)[easy],0.08856226004631985,0.05928978480291048,-0.021109651002452934,0.050940387292360556,0.08529127642423756,0.12670672380119483,0.2053251891733502,0.002915696380758997
38,v_C(trial_type)[easy]_std,0.11340769295873152,0.0567443279230311,0.01876255348960982,0.07542901526789889,0.10603485554628544,0.14286710819122228,0.2441482695358731,0.003568718122417476
39,v_C(trial_type)[easy]_subj.902.0,0.07975618337277314,0.09260898801924161,-0.11145637233977117,0.024491227722263045,0.07962860320764376,0.13971883648676076,0.2577309685018787,0.0034664355564613023
40,v_C(trial_type)[easy]_subj.904.0,0.08170729241412422,0.07857735724035161,-0.076075666636851,0.031158313336111285,0.07907263901840572,0.12882164783186378,0.24035037264005682,0.002848040091490168
41,v_C(trial_type)[easy]_subj.906.0,-0.020110147546297315,0.08806269272342379,-0.21431750357580068,-0.07233381178292639,-0.01159738541835477,0.041681169605240674,0.13356532038131724,0.004392016328998527
42,v_C(trial_type)[easy]_subj.907.0,0.0858873372658689,0.07804908589082878,-0.06334647976846926,0.034865253288531656,0.08407143069615028,0.13716728651860807,0.2386752533668176,0.0030088737402750826
43,v_C(trial_type)[easy]_subj.908.0,0.08192002134229225,0.08895074014791275,-0.10204029877538189,0.024486147672033942,0.07976179683587921,0.1379762340242506,0.26404649158887694,0.0032895662643581598
44,v_C(trial_type)[easy]_subj.910.0,0.06212823362822394,0.08071779509518234,-0.10370806408426325,0.009708984649794444,0.06117355857320417,0.11581558442024023,0.21960699645522566,0.003523831339820728
45,v_C(trial_type)[easy]_subj.911.0,0.22419764900057748,0.09087674570578563,0.05389089092211996,0.16123681602732792,0.2218170299933599,0.2862928224007984,0.40816165317338804,0.005500942906284556
46,v_C(trial_type)[easy]_subj.912.0,0.12408555170594564,0.07982174497513138,-0.0206757020998033,0.06721260389122577,0.12105918594470294,0.17515600919874405,0.298717835199285,0.003599959756732424
