,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,t_C(trial_type)[easy],0.2456000438408124,0.04673894469813516,0.16782884033763748,0.21311999361277173,0.2385195954481228,0.27134156106336593,0.3554205303843219,0.002332615049389854
1,t_C(trial_type)[easy]_std,0.1409218098481068,0.053350749661174826,0.07238367133718121,0.10387698423740889,0.12976667929456026,0.16399668892823654,0.2772459151264002,0.002796101464307425
2,t_C(trial_type)[easy]_subj.902.0,0.2851598692915742,0.012571208366413074,0.2545295584826192,0.27808771265305327,0.2867969824956304,0.29427709947432745,0.30484624387655396,0.00047049934114168183
3,t_C(trial_type)[easy]_subj.904.0,0.22703660374897536,0.018322915898816843,0.18317401801390953,0.21760261710507606,0.22979275081938577,0.23985053966492825,0.25570995241268013,0.0006755895499854236
4,t_C(trial_type)[easy]_subj.906.0,0.24298950099481825,0.02992750767702735,0.17353709970874068,0.22438158807949127,0.24705965492030502,0.26536291565482123,0.2893337313932598,0.0011086696291545699
5,t_C(trial_type)[easy]_subj.907.0,0.37076800592334014,0.019806702671320654,0.3264771820577582,0.3580455499813848,0.3725399413804183,0.38546199034923534,0.4034397196196053,0.0007461384927832695
6,t_C(trial_type)[easy]_subj.908.0,0.18337751079985776,0.013397593484594919,0.15373925390605941,0.1755748137312018,0.1851855433258696,0.1932942556774127,0.2053934092680938,0.0005469894085104824
7,t_C(trial_type)[easy]_subj.910.0,0.26709706253644966,0.024790050918349703,0.2102025292568928,0.2520323042669374,0.2703808303246492,0.28500502386627813,0.30601637224617056,0.0009752358674335349
8,t_C(trial_type)[easy]_subj.911.0,0.17026664067356403,0.030342548559591034,0.10128762281067791,0.15303147750419682,0.1744849871035751,0.1913522498701965,0.21724142580322908,0.0009955326445289653
9,t_C(trial_type)[easy]_subj.912.0,0.17313621592506975,0.022402826291821377,0.12173975831582913,0.16041619801826565,0.17570086153811976,0.18849531897056238,0.21077062900040788,0.000850340350281331
10,t_C(trial_type)[easy]_subj.913.0,0.2348362021497432,0.016595385113715555,0.19782137127945654,0.2257618114024227,0.23749165397867522,0.24669539387886302,0.25976023194148573,0.0006777870901621291
11,t_C(trial_type)[easy]_subj.914.0,0.045224457722625656,0.012934273510920982,0.017386284037654832,0.037091316021077424,0.04641166207938026,0.05433387046034484,0.06711050633630222,0.0004731530779779053
12,t_C(trial_type)[hard],0.24630639654722772,0.05313194299637191,0.16262115672819227,0.20898293685754366,0.23773226848515572,0.27319625235953165,0.37492271994016374,0.0030432958246958174
13,t_C(trial_type)[hard]_std,0.16410292101649687,0.06831061049490321,0.08295613301689408,0.11671309789831497,0.14841336526251553,0.18914841970005042,0.349461153677719,0.004345490870908006
14,t_C(trial_type)[hard]_subj.902.0,0.2599659028064968,0.008625419168227646,0.24066969542408628,0.2547088332803004,0.2608248175406516,0.26640852914986546,0.2737589999271678,0.0003193064661504463
15,t_C(trial_type)[hard]_subj.904.0,0.13990736404513346,0.01767260801086636,0.09827854760181332,0.13019127569490502,0.14207222724065738,0.15278688241812052,0.16678838786095523,0.0006826098747035977
16,t_C(trial_type)[hard]_subj.906.0,0.2879080555807148,0.0210596630396682,0.23805233254198416,0.2770686583547532,0.28973226593809526,0.30343128853450835,0.3208662473836391,0.0007593099848355416
17,t_C(trial_type)[hard]_subj.907.0,0.14910389197796867,0.024405288644575227,0.09425039115023284,0.13470440581139245,0.1518246726644908,0.16723983438273504,0.18820849976975912,0.0010477962968653582
18,t_C(trial_type)[hard]_subj.908.0,0.12221057319798956,0.010822192006206731,0.09903443911598159,0.11547558824151606,0.12345057778773386,0.13037492891571278,0.1390857599869872,0.00042838561897163364
19,t_C(trial_type)[hard]_subj.910.0,0.4781883290660159,0.02262099475411726,0.4243089766817263,0.4644221527491314,0.4808102521747714,0.49418614394798693,0.5144127078589205,0.0009516430155301909
20,t_C(trial_type)[hard]_subj.911.0,0.26648893835682086,0.021232331488606298,0.21774919105849747,0.25447492750172157,0.2690411680709404,0.2822250558793503,0.3017720018421245,0.0007600466394961265
21,t_C(trial_type)[hard]_subj.912.0,0.21351717780932516,0.018656673923657857,0.16979184543222406,0.20297118366343625,0.21602777406469953,0.22660934634916732,0.24410096952952326,0.0006983094791314443
22,t_C(trial_type)[hard]_subj.913.0,0.17920887692346335,0.011484605215847415,0.1529625780126187,0.17188541313809605,0.18092279657598775,0.18762756527161245,0.19736500525244266,0.0004321735464101588
23,t_C(trial_type)[hard]_subj.914.0,0.04838968480193071,0.013926684044797006,0.01625315377113265,0.039955849520843106,0.04991887932540105,0.05844309583435238,0.07075434727591942,0.0005080578083637495
24,v_C(trial_type)[easy],0.08666284362717946,0.09160387938410706,-0.09641832899154802,0.02938207295442529,0.08577831063728852,0.14452047908604043,0.2698126690649484,0.0029005592743380445
25,v_C(trial_type)[easy]_std,0.25049613287829864,0.08955287135837038,0.11763925514170925,0.19131071223382554,0.2364009198398212,0.2941332267230335,0.4618872982291463,0.004178069896099715
26,v_C(trial_type)[easy]_subj.902.0,0.14398873942000587,0.1536838126180005,-0.14893441152092338,0.042790678941066446,0.14497850146723953,0.23866927052186915,0.4503387656630402,0.0043666317573668656
27,v_C(trial_type)[easy]_subj.904.0,0.17719324636076514,0.10716170876758883,-0.01844987997401211,0.10470430496255291,0.17501739906835065,0.24556536782115534,0.39631223396956017,0.0028494431578690556
28,v_C(trial_type)[easy]_subj.906.0,-0.20991787338201043,0.1185511674857373,-0.44823859188007475,-0.29137380880438424,-0.20760098020842993,-0.12752799289173689,0.025386816825165692,0.0036097024259902676
29,v_C(trial_type)[easy]_subj.907.0,0.21515406219977926,0.12193658049674504,-0.016001234400458246,0.12919238693332907,0.21205772686605862,0.3006200327044539,0.45489926537659686,0.00389970342125329
30,v_C(trial_type)[easy]_subj.908.0,0.21168339946187573,0.14390313218663134,-0.05788743182149725,0.11484415706795059,0.20844510466504512,0.31290674373334476,0.49086021993100193,0.004661881542531649
31,v_C(trial_type)[easy]_subj.910.0,-0.2861255281998684,0.1178079660210413,-0.5220021145241267,-0.3645735095097886,-0.2869327794270741,-0.2082308653837627,-0.0518049238151137,0.004532092548207988
32,v_C(trial_type)[easy]_subj.911.0,0.28239733281986684,0.0972158709321262,0.09457500588254357,0.21465923733950917,0.2805409329811138,0.3474908689258956,0.4789623877838296,0.0033204120548670454
33,v_C(trial_type)[easy]_subj.912.0,0.18510606904289084,0.11011652488453227,-0.02019655575266241,0.11285759213841923,0.18580832287094826,0.25363596360769297,0.40906971947946563,0.0031976458658638843
34,v_C(trial_type)[easy]_subj.913.0,0.06686228170529945,0.14034613365463722,-0.213069520840635,-0.025894189452097358,0.07224788748768692,0.16083051162758016,0.3366225776269838,0.004441753295028528
35,v_C(trial_type)[easy]_subj.914.0,0.12153535079960416,0.1071580845681047,-0.08959996881656226,0.04957452944367627,0.1250763071515283,0.1951196427511954,0.3341614516041449,0.0030680508673144404
36,v_C(trial_type)[hard],0.4250457124767191,0.23940221132086117,-0.05245180214512901,0.2771523406105574,0.422988700181163,0.5816526251707086,0.8859075685024578,0.006799272527530592
37,v_C(trial_type)[hard]_std,0.7262916017574593,0.2181322929259444,0.42752367608588393,0.5724990631591361,0.6817010866090054,0.8334843508402581,1.300165387291271,0.007738900984327221
38,v_C(trial_type)[hard]_subj.902.0,-0.21415488048292644,0.1902734524197855,-0.5951280219044152,-0.3437127666847075,-0.20654082218179823,-0.0812200647041118,0.16611076590557894,0.005955276649496561
39,v_C(trial_type)[hard]_subj.904.0,0.483693641980039,0.14046850835924027,0.19891139696167265,0.3967179254934771,0.48520061417215954,0.5790984626562725,0.7706421209867016,0.0038495950693254754
40,v_C(trial_type)[hard]_subj.906.0,0.7147052083068763,0.12119010398682709,0.48848297075041747,0.6301311663253991,0.7150267268168342,0.794651163679099,0.9589216430542367,0.0032071166493697527
41,v_C(trial_type)[hard]_subj.907.0,-0.968744354943378,0.14729654697658387,-1.2539652343794874,-1.0670378299449899,-0.9650680141537444,-0.8662269508647795,-0.6871084198323139,0.004516575705427928
