subj,run,runstart,trial,Cue1_Onset,Cue2_Onset,response,Reward,Effort,Order,RT,Trigger,ITI_Onset,ITI_Offset,CounterBalance,Site,ModelledDiff,BinaryDiff,TaskDiff,ExpectedChoice,Error,Visit1_ModelDiff,Visit1_BinaryDiff,filter_$,Easy_NonEff,Easy_Eff,IDP,IDP_binary,SVC,SVH
902,1,139443.27,1,0.1,2.13,1,9.33,0.2,2,0.67,1,3.36,5.36,1,2,0.02,0,-1,1,0,0,0,0,#NULL!,1,8.37,0,9.2536,9.2536
902,1,139443.27,2,5.41,7.43,1,10.4,0.5,1,0.56,1,8.53,10.53,1,2,0.03,0,-1,1,0,0,0,0,#NULL!,1,8.9,0,9.4245,9.4245
902,1,139443.27,4,15.77,17.79,0,-2,1,2,0.38,1,18.69,20.69,1,2,0,0,-1,0,0,0,0,0,0,#NULL!,12,0,4.187,4.187
902,1,139443.27,5,26.14,28.16,0,-0.03,0.8,2,0.59,1,29.27,31.27,1,2,0.05,0,0,0,0,0,1,0,#NULL!,#NULL!,7.06,0,1,-8.7
902,1,139443.27,7,36.64,38.66,1,9.97,0.2,1,0.71,1,39.91,41.91,1,2,0.02,0,-1,1,0,0,0,0,#NULL!,1,9.01,0,1,-3.633
902,1,139443.27,8,45.25,47.26,0,9.62,0.5,2,0.77,1,48.56,50.56,1,2,0.05,0,-1,1,1,0,0,0,#NULL!,0,8.12,0,1,0.30454
902,1,139443.27,10,55.91,57.93,1,7.82,0.2,1,0.64,1,59.1,61.1,1,2,0.05,0,1,1,0,0,0,0,#NULL!,#NULL!,6.86,0,9.8936,9.8936
902,1,139443.27,11,64.72,66.73,0,-0.2,1,2,0.59,1,67.85,69.85,1,2,0.01,0,0,0,0,0,0,0,#NULL!,#NULL!,10.2,0,1,8.6445
902,1,139443.27,12,69.86,71.88,0,-0.8,0.8,2,0.57,1,73,75,1,2,0.04,0,0,0,0,0,0,0,#NULL!,#NULL!,7.83,0,4.547,4.547
902,1,139443.27,15,89.02,91.04,1,9.25,0.2,2,0.63,1,92.21,94.21,1,2,0.02,0,-1,1,0,0,0,0,#NULL!,1,8.29,0,7.7436,7.7436
902,1,139443.27,16,94.22,96.24,1,10.24,0.2,1,0.57,1,97.36,99.36,1,2,0.01,0,-1,1,0,0,0,0,#NULL!,1,9.28,0,1,-6.9
902,1,139443.27,18,110.66,112.67,1,7.98,0.5,1,0.7,1,113.91,115.91,1,2,0.11,1,1,1,0,0,0,0,#NULL!,#NULL!,6.48,0,1,-4.403
902,1,139443.27,19,115.92,117.94,1,7.25,0.2,1,0.59,1,119.06,121.06,1,2,0.07,0,1,1,0,0,0,0,#NULL!,#NULL!,6.29,0,1,0.52363
902,1,139443.27,20,121.07,123.09,0,-1.35,0.8,1,0.56,1,124.17,126.17,1,2,0.03,0,-1,0,0,0,0,0,0,#NULL!,8.38,0,1,0.29454
902,1,139443.27,21,130.58,132.6,0,-0.85,1,2,0.45,1,133.58,135.58,1,2,0,0,-1,0,0,0,0,0,0,#NULL!,10.85,0,9.1736,9.1736
